Tenant ID,Program Name,Total Requests (30 Days),Avg Requests per Day
cm-p7718-e16302,InsideAdobeNext,228049,7601.63
cm-p130360-e1272151,Crosswalk,79386,2646.20
cm-p155458-e1664685,MSC EDS,4405,146.83
cm-p163523-e1788054,ASO Sandbox Trial,1141,38.03
cm-p7718-e16261,InsideAdobeNext,1003,33.43
cm-p171453-e1846108,WYNDHAM HOTEL GROUP LLC BC Pilot,646,21.53
cm-p162709-e1741368,Unknown Program,518,17.27
cm-p155458-e1664796,MSC EDS,488,16.27
cm-p31359-e1338271,Unknown Program,87,2.90
cm-p47754-e1700224,Unknown Program,82,2.73
cm-p114704-e1171262,Unknown Program,82,2.73
cm-p7718-e22224,InsideAdobeNext,46,1.53
cm-p115966-e1137377,Unknown Program,17,0.57
cm-p158407-e1689364,Content AI Service Program,11,0.37
cm-p158407-e1710855,Content AI Service Program,11,0.37
cm-p52402-e1704223,Unknown Program,10,0.33
cm-p161503-e1722530,Unknown Program,10,0.33
cm-p165854-e1765445,Unknown Program,6,0.20
cm-p158407-e1696476,Content AI Service Program,3,0.10
cm-p114704-e1122666,Unknown Program,3,0.10
cm-p47754-e237307,Unknown Program,1,0.03
cm-p130360-e1272244,Crosswalk,1,0.03
